name,prefix,F1,IoU,MAE
IA (2702).png,IA,0.1327308230658902,0.07108285441942679,0.4908578097820282
IA (2703).png,IA,0.11719451330973567,0.062244620667506606,0.46347862482070923
IA (2708).png,IA,0.24422058682978112,0.13909525592900007,0.4889907240867615
IA (2712).png,IA,0.42730564854337516,0.2717029206263798,0.4771232306957245
IA (2720).png,IA,0.08158650747703365,0.04252811387900356,0.5601561069488525
IA (2755).png,IA,0.1962475201132523,0.10879958436734852,0.538933515548706
IA (2771).png,IA,0.3606540942583603,0.21999877694829784,0.5079452395439148
IA (2773).png,IA,0.32599611125786515,0.19474035481651258,0.539165735244751
IA (2775).png,IA,0.07611116082944214,0.03956110107809336,0.5211019515991211
IA (2788).png,IA,0.132897931641131,0.07117871802152981,0.484266072511673
IA (2797).png,IA,0.08386814556480367,0.04376950645159273,0.5096444487571716
IA (2808).png,IA,0.2528321820398212,0.14470972933498924,0.5808206796646118
IA (2812).png,IA,0.1124797684655295,0.05959129157205823,0.5389903783798218
IA (2820).png,IA,0.08276273687351825,0.04316770723439581,0.5540397763252258
IA (2839).png,IA,0.39411292675809745,0.24541758466395622,0.5314912796020508
IA (2847).png,IA,0.061373716823355046,0.031658353833307,0.5677381157875061
IA (2858).png,IA,0.17424186797855937,0.0954353508948321,0.5371040105819702
IA (2859).png,IA,0.048105898616594894,0.02464575233999623,0.5659542083740234
IA (2861).png,IA,0.04453671871764072,0.022775533114809655,0.5439069867134094
IA (2867).png,IA,0.04410823658469695,0.022551471103736766,0.4943554699420929
IA (2880).png,IA,0.19719339946062076,0.1093813387423935,0.5173973441123962
IA (2910).png,IA,0.08989103789375924,0.04706068589649363,0.552988588809967
IA (2920).png,IA,0.058770278472157926,0.030274767494237038,0.5436711311340332
IA (2925).png,IA,0.024262151590579612,0.01228004596364442,0.558556079864502
IA (2942).png,IA,0.024516937835554465,0.012410603920183649,0.5262861847877502
IA (2947).png,IA,0.09047571806747041,0.04738128701663048,0.519001305103302
IA (2959).png,IA,0.22321232665087476,0.12562689960029638,0.5223158001899719
IA (2983).png,IA,0.08160129438641302,0.04253614962709922,0.5333533883094788
IA (2992).png,IA,0.1310071020400297,0.07009502400090745,0.5274834632873535
IA (3).png,IA,0.23748560776358352,0.13474250696032228,0.4997592866420746
IA (3000).png,IA,0.11890150178187159,0.06320854643948794,0.5150017738342285
IA (3010).png,IA,0.02804363342081748,0.0142212241082523,0.5721628069877625
IA (3028).png,IA,0.04969028302083551,0.02547814974628789,0.541226327419281
IA (3030).png,IA,0.0702449171442001,0.03640094940972834,0.5473582744598389
IA (3031).png,IA,0.11025552469391031,0.05834414447807912,0.5398334264755249
IA (3044).png,IA,0.21069863366847125,0.11775469333064388,0.5543779730796814
IA (3045).png,IA,0.2944500796985944,0.17264231096006796,0.5163620114326477
IA (3054).png,IA,0.06675574218998537,0.03453042310628999,0.4819159507751465
IA (3059).png,IA,0.0930828563088447,0.04881326732878774,0.5422081351280212
IA (3069).png,IA,0.08414165011680783,0.043918513141609786,0.5417812466621399
IA (3080).png,IA,0.1693262497450491,0.09249395186961504,0.5594190955162048
IA (3091).png,IA,0.0910564513851628,0.047699918340296105,0.4761852025985718
IA (3095).png,IA,0.34558244755028045,0.2088846597635353,0.5309669375419617
IA (3117).png,IA,0.0286581864644385,0.014537401006596937,0.5498000979423523
IA (3121).png,IA,0.1332187896551337,0.0713628297289981,0.5171483159065247
IA (3139).png,IA,0.26830560203129333,0.15493819368245243,0.5265523791313171
IA (3142).png,IA,0.15997106584808654,0.0869394295268616,0.5502533912658691
IA (3155).png,IA,0.21915612586490316,0.12306307647060907,0.5620725750923157
IA (3162).png,IA,0.18296171769008435,0.10069227460496523,0.5251151919364929
IA (3177).png,IA,0.34166155523751107,0.20602643345607574,0.49455931782722473
IA (3178).png,IA,0.03020629120049278,0.015334748540192076,0.5434079766273499
IA (3189).png,IA,0.2899142621368729,0.16953200399129767,0.5189734101295471
IA (3206).png,IA,0.15991580021687823,0.08690678406766734,0.5185382962226868
IA (3224).png,IA,0.024518640638080416,0.01241147658614199,0.568078339099884
IA (36).png,IA,0.6760666575790621,0.5106500727165085,0.46318718791007996
IA (43).png,IA,0.19041794815710886,0.10522758443762519,0.5412453413009644
IA (44).png,IA,0.18554370351763302,0.10225856851848189,0.49799665808677673
IA (57).png,IA,0.10133843212237094,0.05337361530715005,0.24651314318180084
IA (63).png,IA,0.16407907882358946,0.08937153933539352,0.5579126477241516
IA (64).png,IA,0.36156576227558146,0.22067761644053002,0.5678032040596008
IA (88).png,IA,0.27353024212521676,0.15843326584644135,0.5389471650123596
IA (9955).png,IA,0.01236125750310516,0.006219066492725335,0.5933038592338562
IA (9960).png,IA,0.13448434688053487,0.0720896373373516,0.5427591800689697
IA (9971).png,IA,0.06257033535899167,0.03229553903345725,0.5489949584007263
IA (9975).png,IA,0.13010899182561309,0.06958105646630237,0.4669901430606842
PP (1952).png,PP,0.2204661487236404,0.12388983135415627,0.45221176743507385
PP (1953).png,PP,0.16583317959942762,0.09041335703761696,0.43805837631225586
PP (1957).png,PP,0.29472558301002527,0.1728317624856258,0.4188252091407776
PP (1961).png,PP,0.24154362315434733,0.13736116876986856,0.44152796268463135
PP (1967).png,PP,0.13443496457995668,0.07206125866830894,0.525850236415863
PP (1969).png,PP,0.24421235063395055,0.13908991256552392,0.4388962984085083
PP (1982).png,PP,0.22514638179949045,0.12685349343218633,0.4574325382709503
PP (1983).png,PP,0.1424996671212184,0.07671582319469643,0.482021689414978
PP (1994).png,PP,0.1806461005872171,0.0992913476842096,0.45838940143585205
PP (1997).png,PP,0.15665601571533364,0.08498468926629885,0.5139232873916626
PP (2002).png,PP,0.18190773912576993,0.10005418484004742,0.44424930214881897
PP (2012).png,PP,0.22239583773237498,0.12510987679544622,0.4309825003147125
PP (2027).png,PP,0.3761681377484871,0.23165461061154063,0.44510161876678467
PP (2052).png,PP,0.2690306619686633,0.15542196852235224,0.2536168098449707
PP (2074).png,PP,0.16093787527926443,0.08751084213846397,0.43010368943214417
PP (2086).png,PP,0.2678761168051002,0.1546518233505349,0.4721986949443817
PP (2093).png,PP,0.2977324743151548,0.17490345660878012,0.4955010414123535
PP (2094).png,PP,0.246986740785414,0.14089268263496937,0.41273173689842224
PP (2110).png,PP,0.21420511055007269,0.11994944761884362,0.4318484961986542
PP (2124).png,PP,0.23202121000110468,0.13123529044217191,0.44076845049858093
PP (2127).png,PP,0.2919564884326643,0.1709303577194934,0.43776965141296387
PP (2139).png,PP,0.11350327622613579,0.06016616662820217,0.47406676411628723
PP (2158).png,PP,0.30409064631749333,0.1793083136531969,0.45623576641082764
PP (2169).png,PP,0.185858678884719,0.10244994517321204,0.46319839358329773
PP (2177).png,PP,0.2690500091257529,0.1554348828933321,0.3231314420700073
PP (2192).png,PP,0.28371042478528086,0.1653045202175669,0.44192633032798767
PP (2197).png,PP,0.1870119082100523,0.10315120604317761,0.5198651552200317
PP (2217).png,PP,0.2112074683699791,0.11807264656763646,0.45231327414512634
PP (2223).png,PP,0.25308118631560766,0.1448728952559845,0.45011594891548157
PP (2227).png,PP,0.213330981862736,0.11940151180611476,0.44575682282447815
PP (2233).png,PP,0.25219805645534477,0.14429441355573205,0.49772000312805176
PP (2235).png,PP,0.21850595116286817,0.12265320297056152,0.42833998799324036
PP (2239).png,PP,0.3973044718374493,0.24789766044518058,0.4280475378036499
PP (2253).png,PP,0.2755702812792233,0.1598037184627321,0.49275699257850647
PP (2256).png,PP,0.2186881886135979,0.12276805622446978,0.45964840054512024
PP (2260).png,PP,0.1904769368825703,0.10526361380242283,0.49985000491142273
PP (2274).png,PP,0.23597343035055104,0.13376977105137605,0.45515501499176025
PP (2278).png,PP,0.4061730726754143,0.2548413919428633,0.4528183043003082
PP (2305).png,PP,0.23799020552963407,0.13506747026974977,0.46713995933532715
PP (2316).png,PP,0.1858661490859774,0.10245448481782736,0.468931645154953
PP (2321).png,PP,0.28942410123626217,0.1691968777564526,0.4416528344154358
PP (2325).png,PP,0.31668923384949077,0.18813474030925006,0.46647942066192627
PP (2328).png,PP,0.3804664673216574,0.23492348855071363,0.44189971685409546
PP (2343).png,PP,0.1013973177662858,0.053406285957097364,0.5198816657066345
PP (2353).png,PP,0.1697893966035105,0.09277041466616834,0.438853919506073
PP (2360).png,PP,0.4766879615033602,0.3129286380312497,0.38298818469047546
PP (2373).png,PP,0.32550649040078317,0.19439101348245408,0.48415616154670715
PP (2382).png,PP,0.3232919381941883,0.19281349303348813,0.4437030255794525
PP (2387).png,PP,0.24866211282033843,0.141984088073822,0.47701624035835266
PP (2388).png,PP,0.27435876519327357,0.15898945832967537,0.4325518012046814
PP (2390).png,PP,0.26978633506234756,0.15592660058667912,0.44724521040916443
PP (2396).png,PP,0.3760542658619367,0.23156824637464493,0.4603135585784912
PP (2404).png,PP,0.4216001929712326,0.26710608496897054,0.44948145747184753
PP (2431).png,PP,0.23394014611481642,0.13246444937874993,0.46437469124794006
PP (2446).png,PP,0.546520774804081,0.3760086593122195,0.37848666310310364
PP (2449).png,PP,0.14255389123090262,0.07674725557737501,0.44533243775367737
PP (2468).png,PP,0.25678092399403873,0.14730272719500725,0.47501257061958313
PP (2477).png,PP,0.19980013981635164,0.1109877543241054,0.48527470231056213
PP (2502).png,PP,0.23039131184278572,0.13019336612926793,0.458120733499527
PP (2514).png,PP,0.2603621600200571,0.14966457617584297,0.4825906455516815
PP (2532).png,PP,0.14384249242752056,0.07749476638738524,0.5200883150100708
PP (2542).png,PP,0.07310466740797765,0.03793909620904975,0.4545539617538452
PP (2547).png,PP,0.5578909253926927,0.3868576484373132,0.1894451230764389
